uniprot,uniprotname,entrezid
Q32MK0,MYLK3,91807
Q15746,MYLK,4638
Q86YV6,MYLK4,340156
O94768,STK17B,9262
Q15208,STK38,11329
Q9Y2H1,STK38L,23012
Q13554,CAMK2B,816
Q9UEE5,STK17A,9263
Q13557,CAMK2D,817
Q9UQM7,CAMK2A,815
Q13555,CAMK2G,818
P10398,ARAF,369
Q9NRH2,SNRK,54861
Q2M2I8,AAK1,22848
Q96S38,RPS6KC1,26750
Q9NSY1,BMP2K,55589
Q9BQI3,EIF2AK1,27102
Q9H093,NUAK2,81788
Q9NRP7,STK36,27148
Q9H1R3,MYLK2,85366
Q8IW41,MAPKAPK5,8550
Q14164,IKBKE,9641
Q99558,MAP3K14,9020
Q9Y2H9,MAST1,22983
Q9BYT3,STK33,65975
P05129,PRKCG,5582
O15021,MAST4,375449
Q6P0Q8,MAST2,23139
O60307,MAST3,23031
P41743,PRKCI,5584
O96017,CHEK2,11200
P53355,DAPK1,1612
O14965,AURKA,6790
Q9P2K8,EIF2AK4,440275
Q9UHD2,TBK1,29110
Q9UQB9,AURKC,6795
Q8IWB6,TEX14,56155
O75116,ROCK2,9475
Q8NB16,MLKL,197259
Q9BXM7,PINK1,65018
Q9NYY3,PLK2,10769
O75385,ULK1,8408
Q8IYT8,ULK2,9706
Q8IZL9,CDK20,23552
P48729,CSNK1A1,1452
O14920,IKBKB,3551
Q6P2M8,PNCK,139728
O15111,CHUK,1147
O43683,BUB1,699
O14976,GAK,2580
Q6ZWH5,NEK10,152110
P19525,EIF2AK2,5610
P20594,NPR2,4882
Q7Z2Y5,NRK,203447
P78368,CSNK1G2,1455
Q9HCP0,CSNK1G1,53944
Q9Y6M4,CSNK1G3,1456
Q9UKE5,TNIK,23043
P48730,CSNK1D,1453
P49674,CSNK1E,1454
O94804,STK10,6793
P53350,PLK1,5347
Q09013,DMPK,1760
O95819,MAP4K4,9448
Q8N4C8,MINK1,50488
P41279,MAP3K8,1326
Q9H2K8,TAOK3,51347
Q7L7X3,TAOK1,57551
Q5VT25,CDC42BPA,8476
Q9Y5S2,CDC42BPB,9578
Q13464,ROCK1,6093
Q6DT37,CDC42BPG,55561
Q6P5Z2,PKN3,29941
Q96QS6,PSKH2,85481
P31152,MAPK4,5596
Q9UEW8,STK39,27347
Q92918,MAP4K1,11184
O96013,PAK4,10298
Q59H18,TNNI3K,51086
Q86TW2,ADCK1,57143
Q16659,MAPK6,5597
P36894,BMPR1A,657
O43781,DYRK3,8444
Q9BWU1,CDK19,23097
P49336,CDK8,1024
Q6ZN16,MAP3K15,389840
Q6PHR2,ULK3,25989
Q8IV63,VRK3,51231
Q02846,GUCY2D,3000
P19784,CSNK2A2,1459
Q9NWZ3,IRAK4,51135
Q13043,STK4,6789
Q13188,STK3,6788
Q9Y6R4,MAP3K4,4216
Q9NY57,STK32B,55351
Q8WTQ7,GRK7,131890
Q9BXA7,TSSK1B,83942
Q13315,ATM,472
Q9BXA6,TSSK6,83983
Q96PN8,TSSK3,81629
Q96S53,TESK2,10420
P0C263,SBK2,646643
O43353,RIPK2,8767
Q13418,ILK,3611
Q8N2I9,STK40,83931
P0C264,SBK3,100130827
Q9H5K3,POMK,84197
Q9Y572,RIPK3,11035
